Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,2170.000000,2200.000000,2160.000000,2180.000000,2180.000000,16471500
2023-07-12,2240.000000,2280.000000,2150.000000,2170.000000,2170.000000,13879300
2023-07-13,2170.000000,2170.000000,2120.000000,2150.000000,2150.000000,15144400
2023-07-14,2150.000000,2190.000000,2140.000000,2140.000000,2140.000000,10294100
2023-07-17,2140.000000,2220.000000,2140.000000,2200.000000,2200.000000,18276900
2023-07-18,2200.000000,2260.000000,2190.000000,2190.000000,2190.000000,24864200
2023-07-20,2200.000000,2330.000000,2200.000000,2320.000000,2320.000000,38876800
2023-07-21,2250.000000,2350.000000,2240.000000,2260.000000,2260.000000,26132700
2023-07-24,2230.000000,2260.000000,2120.000000,2140.000000,2140.000000,56076300
2023-07-25,2150.000000,2180.000000,2110.000000,2150.000000,2150.000000,23552300
2023-07-26,2150.000000,2220.000000,2150.000000,2190.000000,2190.000000,19762700
2023-07-27,2190.000000,2210.000000,2130.000000,2130.000000,2130.000000,22009300
2023-07-28,2130.000000,2170.000000,2130.000000,2150.000000,2150.000000,15644100
2023-07-31,2150.000000,2180.000000,2120.000000,2130.000000,2130.000000,17648500
2023-08-01,2130.000000,2150.000000,2110.000000,2130.000000,2130.000000,7368100
2023-08-02,2140.000000,2140.000000,2050.000000,2120.000000,2120.000000,29237400
2023-08-03,2120.000000,2180.000000,2110.000000,2110.000000,2110.000000,10937500
2023-08-04,2120.000000,2160.000000,2090.000000,2090.000000,2090.000000,16631700
2023-08-07,2100.000000,2130.000000,2090.000000,2110.000000,2110.000000,10010100
2023-08-08,2120.000000,2180.000000,2110.000000,2160.000000,2160.000000,10886100
2023-08-09,2160.000000,2180.000000,2140.000000,2150.000000,2150.000000,12774500
2023-08-10,2150.000000,2160.000000,2130.000000,2130.000000,2130.000000,4855500
2023-08-11,2130.000000,2180.000000,2130.000000,2170.000000,2170.000000,5877300
